tx1_mode,tx2_mode,tx1_phase,tx2_phase,v_rx_volts,total_phase
0,0,0,0,0.0509496576762785,135.05429876219424
0,1,0,90,0.047672890642796235,135.05429876219424
0,2,0,180,0.047672890642796235,135.05429876219424
1,0,90,0,0.05340354041506509,135.05429876219424
1,1,90,90,0.05001944147888015,135.05429876219424
1,2,90,180,0.05001944147888015,135.05429876219424
2,0,180,0,0.04848085672326203,135.05429876219424
2,1,180,90,0.04502363611341776,135.05429876219424
2,2,180,180,0.04502363611341776,135.05429876219424
